lap_id,t,cmd_speed,cmd_thrust,real_speed,real_thrust
1,0.004187,10.000000,12.356438,0.022865,9.889436
1,0.009186,10.000000,12.356438,0.021993,9.974305
1,0.014185,10.000000,12.356438,0.019839,10.230903
1,0.019524,10.000000,12.356438,0.016420,10.440678
1,0.024305,10.000000,3.948420,0.011764,10.776290
1,0.029186,10.000000,3.948420,0.007842,10.624520
1,0.034197,10.000000,3.948420,0.008049,9.825832
1,0.039186,10.000000,3.948420,0.011129,9.303684
1,0.044185,10.000000,9.814848,0.016068,9.006100
1,0.049188,10.000000,9.814848,0.021526,9.068444
1,0.054330,10.000000,9.814848,0.026275,9.618688
1,0.059206,10.000000,9.814848,0.031673,10.255815
1,0.064192,10.000000,9.827064,0.039807,10.945005
1,0.069192,10.000000,9.827064,0.052765,11.723960
1,0.074188,10.000000,9.827064,0.071965,12.593610
1,0.079188,10.000000,9.827064,0.098187,13.542611
1,0.084190,10.000000,9.789015,0.131916,14.569194
1,0.089189,10.000000,9.789015,0.173549,15.672594
1,0.094193,10.000000,9.789015,0.223411,16.816422
1,0.099190,10.000000,9.789015,0.281773,18.027868
1,0.104192,10.000000,9.647075,0.348792,19.234996
1,0.109193,10.000000,9.647075,0.424497,20.457580
1,0.114189,10.000000,9.647075,0.508744,21.666987
1,0.119189,10.000000,9.647075,0.601298,22.812613
1,0.124190,10.000000,9.447635,0.701758,23.902798
1,0.129192,10.000000,9.447635,0.809601,24.908651
1,0.134191,10.000000,9.447635,0.924157,25.818718
1,0.139207,10.000000,9.447635,1.044732,26.531732
1,0.144194,10.000000,9.309830,1.170545,27.334650
1,0.149194,10.000000,9.309830,1.300809,27.801238
1,0.154191,10.000000,9.309830,1.434707,28.215646
1,0.159190,10.000000,9.309830,1.571485,28.474088
1,0.164191,10.000000,9.358237,1.710403,28.603008
1,0.169393,10.000000,9.358237,1.850810,27.558524
1,0.174308,10.000000,9.358237,1.992096,29.056333
1,0.179190,10.000000,9.358237,2.133747,29.087793
1,0.184206,10.000000,9.622488,2.275300,28.081070
1,0.189190,10.000000,9.622488,2.416376,27.972441
1,0.194191,10.000000,9.622488,2.556632,27.537206
1,0.199187,10.000000,9.622488,2.695809,27.198686
1,0.204188,10.000000,10.027306,2.833673,26.797477
1,0.209190,10.000000,10.027306,2.970031,26.403670
1,0.214200,10.000000,10.027306,3.104695,25.975315
1,0.219199,10.000000,10.027306,3.237531,25.659107
1,0.224191,10.000000,10.462853,3.368399,25.341190
1,0.229189,10.000000,10.462853,3.497179,24.974831
1,0.234192,10.000000,10.462853,3.623745,24.641479
1,0.239194,10.000000,10.462853,3.747987,24.355867
1,0.244189,10.000000,10.843559,3.869784,24.122517
1,0.249195,10.000000,10.843559,3.989021,23.825192
1,0.254193,10.000000,10.843559,4.105572,23.627920
1,0.259189,10.000000,10.843559,4.219341,23.418066
1,0.264197,10.000000,11.125088,4.330233,23.165001
1,0.269245,10.000000,11.125088,4.438191,22.812678
1,0.274188,10.000000,11.125088,4.543182,23.035966
1,0.279187,10.000000,11.125088,4.645175,22.633304
1,0.284191,10.000000,11.307333,4.744157,22.432322
1,0.289196,10.000000,11.307333,4.840163,22.243899
1,0.294191,10.000000,11.307333,4.933260,22.092424
1,0.299193,10.000000,11.307333,5.023516,21.881045
1,0.304194,9.780864,12.014649,5.111011,21.687612
1,0.309190,9.780864,12.014649,5.194966,21.252519
1,0.314188,9.780864,12.014649,5.273929,20.358196
1,0.319193,9.780864,12.014649,5.348428,19.538720
1,0.324189,9.489995,11.823328,5.418961,18.843952
1,0.329189,9.489995,11.823328,5.485762,18.141542
1,0.334192,9.489995,11.823328,5.548860,17.408494
1,0.339191,9.489995,11.823328,5.608647,16.771179
1,0.344192,9.206659,12.122422,5.665460,16.190757
1,0.349198,9.206659,12.122422,5.719510,15.646958
1,0.354190,9.206659,12.122422,5.770919,15.156850
1,0.359188,9.206659,12.122422,5.819909,14.689468
1,0.364194,8.929142,12.709525,5.866662,14.273832
1,0.369240,8.929142,12.709525,5.911275,13.849397
1,0.374207,8.929142,12.709525,5.953784,13.586768
1,0.379191,8.929142,12.709525,5.994303,13.250423
1,0.384193,8.634665,13.260026,6.032918,12.956284
1,0.389192,8.634665,13.260026,6.069714,12.731637
1,0.394187,8.634665,13.260026,6.104773,12.554301
1,0.399189,8.634665,13.260026,6.138115,12.401203
1,0.404187,8.527601,14.803546,6.169743,12.286806
1,0.409191,8.527601,14.803546,6.199946,12.317347
1,0.414197,8.527601,14.803546,6.229204,12.607399
1,0.419192,8.527601,14.803546,6.257318,12.889129
1,0.424191,8.512544,11.417967,6.284093,13.133065
1,0.429191,8.512544,11.417967,6.309329,13.340518
1,0.434196,8.512544,11.417967,6.332826,13.488017
1,0.439189,8.512544,11.417967,6.354498,13.626092
1,0.444189,8.499517,10.777913,6.374307,13.727589
1,0.449190,8.499517,10.777913,6.392237,13.798158
